aug_kl   AUC 0.4671, Accuracy 0.5220, TPR@5% FPR of 0.0068
Min_0% renyi_1   AUC 0.5425, Accuracy 0.5405, TPR@5% FPR of 0.1047
Min_0% renyi_2   AUC 0.5571, Accuracy 0.5541, TPR@5% FPR of 0.1047
Min_0% renyi_inf   AUC 0.5593, Accuracy 0.5541, TPR@5% FPR of 0.1047
Min_5.0% renyi_05   AUC 0.5153, Accuracy 0.5287, TPR@5% FPR of 0.0574
Min_5.0% renyi_1   AUC 0.5425, Accuracy 0.5405, TPR@5% FPR of 0.1047
Min_5.0% renyi_2   AUC 0.5571, Accuracy 0.5541, TPR@5% FPR of 0.1047
Min_5.0% renyi_inf   AUC 0.5593, Accuracy 0.5541, TPR@5% FPR of 0.1047
Min_10.0% renyi_05   AUC 0.4890, Accuracy 0.5152, TPR@5% FPR of 0.0608
Min_10.0% renyi_1   AUC 0.5179, Accuracy 0.5220, TPR@5% FPR of 0.0743
Min_10.0% renyi_2   AUC 0.5417, Accuracy 0.5439, TPR@5% FPR of 0.0811
Min_10.0% renyi_inf   AUC 0.5474, Accuracy 0.5456, TPR@5% FPR of 0.0845
Min_20.0% renyi_05   AUC 0.4810, Accuracy 0.5152, TPR@5% FPR of 0.0608
Min_20.0% renyi_1   AUC 0.5025, Accuracy 0.5253, TPR@5% FPR of 0.0845
Min_20.0% renyi_2   AUC 0.5322, Accuracy 0.5372, TPR@5% FPR of 0.1014
Min_20.0% renyi_inf   AUC 0.5436, Accuracy 0.5389, TPR@5% FPR of 0.1047
Min_30.0% renyi_05   AUC 0.4791, Accuracy 0.5270, TPR@5% FPR of 0.0676
Min_30.0% renyi_1   AUC 0.4949, Accuracy 0.5236, TPR@5% FPR of 0.0743
Min_30.0% renyi_2   AUC 0.5274, Accuracy 0.5372, TPR@5% FPR of 0.1047
Min_30.0% renyi_inf   AUC 0.5419, Accuracy 0.5422, TPR@5% FPR of 0.0980
Min_40.0% renyi_05   AUC 0.4811, Accuracy 0.5304, TPR@5% FPR of 0.0676
Min_40.0% renyi_1   AUC 0.4957, Accuracy 0.5236, TPR@5% FPR of 0.0642
Min_40.0% renyi_2   AUC 0.5269, Accuracy 0.5338, TPR@5% FPR of 0.0777
Min_40.0% renyi_inf   AUC 0.5437, Accuracy 0.5405, TPR@5% FPR of 0.0709
Min_50.0% renyi_05   AUC 0.4860, Accuracy 0.5338, TPR@5% FPR of 0.0541
Min_50.0% renyi_1   AUC 0.4996, Accuracy 0.5304, TPR@5% FPR of 0.0709
Min_50.0% renyi_2   AUC 0.5291, Accuracy 0.5372, TPR@5% FPR of 0.0743
Min_50.0% renyi_inf   AUC 0.5449, Accuracy 0.5422, TPR@5% FPR of 0.0642
