aug_kl   AUC 0.4487, Accuracy 0.5051, TPR@5% FPR of 0.0372
Min_0% renyi_1   AUC 0.4651, Accuracy 0.5118, TPR@5% FPR of 0.0473
Min_0% renyi_2   AUC 0.4663, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_0% renyi_inf   AUC 0.4664, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_5.0% renyi_05   AUC 0.4584, Accuracy 0.5084, TPR@5% FPR of 0.0270
Min_5.0% renyi_1   AUC 0.4651, Accuracy 0.5118, TPR@5% FPR of 0.0473
Min_5.0% renyi_2   AUC 0.4663, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_5.0% renyi_inf   AUC 0.4664, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_10.0% renyi_05   AUC 0.4536, Accuracy 0.5118, TPR@5% FPR of 0.0574
Min_10.0% renyi_1   AUC 0.4746, Accuracy 0.5287, TPR@5% FPR of 0.0473
Min_10.0% renyi_2   AUC 0.4778, Accuracy 0.5321, TPR@5% FPR of 0.0507
Min_10.0% renyi_inf   AUC 0.4778, Accuracy 0.5321, TPR@5% FPR of 0.0507
Min_20.0% renyi_05   AUC 0.4643, Accuracy 0.5084, TPR@5% FPR of 0.0541
Min_20.0% renyi_1   AUC 0.4779, Accuracy 0.5152, TPR@5% FPR of 0.0574
Min_20.0% renyi_2   AUC 0.4796, Accuracy 0.5118, TPR@5% FPR of 0.0541
Min_20.0% renyi_inf   AUC 0.4798, Accuracy 0.5118, TPR@5% FPR of 0.0541
Min_30.0% renyi_05   AUC 0.4686, Accuracy 0.5084, TPR@5% FPR of 0.0473
Min_30.0% renyi_1   AUC 0.4915, Accuracy 0.5152, TPR@5% FPR of 0.0405
Min_30.0% renyi_2   AUC 0.4930, Accuracy 0.5186, TPR@5% FPR of 0.0405
Min_30.0% renyi_inf   AUC 0.4933, Accuracy 0.5203, TPR@5% FPR of 0.0405
Min_40.0% renyi_05   AUC 0.4792, Accuracy 0.5068, TPR@5% FPR of 0.0405
Min_40.0% renyi_1   AUC 0.4930, Accuracy 0.5152, TPR@5% FPR of 0.0507
Min_40.0% renyi_2   AUC 0.4932, Accuracy 0.5203, TPR@5% FPR of 0.0541
Min_40.0% renyi_inf   AUC 0.4931, Accuracy 0.5203, TPR@5% FPR of 0.0541
Min_50.0% renyi_05   AUC 0.4903, Accuracy 0.5068, TPR@5% FPR of 0.0473
Min_50.0% renyi_1   AUC 0.4965, Accuracy 0.5135, TPR@5% FPR of 0.0642
Min_50.0% renyi_2   AUC 0.4986, Accuracy 0.5152, TPR@5% FPR of 0.0574
Min_50.0% renyi_inf   AUC 0.4993, Accuracy 0.5186, TPR@5% FPR of 0.0574
Min_60.0% renyi_05   AUC 0.4982, Accuracy 0.5135, TPR@5% FPR of 0.0473
Min_60.0% renyi_1   AUC 0.5025, Accuracy 0.5186, TPR@5% FPR of 0.0676
Min_60.0% renyi_2   AUC 0.5031, Accuracy 0.5270, TPR@5% FPR of 0.0811
Min_60.0% renyi_inf   AUC 0.5045, Accuracy 0.5270, TPR@5% FPR of 0.0777
Min_70.0% renyi_05   AUC 0.5028, Accuracy 0.5203, TPR@5% FPR of 0.0574
Min_70.0% renyi_1   AUC 0.5074, Accuracy 0.5220, TPR@5% FPR of 0.0676
Min_70.0% renyi_2   AUC 0.5100, Accuracy 0.5270, TPR@5% FPR of 0.0811
Min_70.0% renyi_inf   AUC 0.5114, Accuracy 0.5236, TPR@5% FPR of 0.0845
Min_80.0% renyi_05   AUC 0.5046, Accuracy 0.5186, TPR@5% FPR of 0.0608
Min_80.0% renyi_1   AUC 0.5123, Accuracy 0.5253, TPR@5% FPR of 0.0642
