aug_kl   AUC 0.5324, Accuracy 0.5450, TPR@5% FPR of 0.0333
Min_0% renyi_1   AUC 0.7145, Accuracy 0.6700, TPR@5% FPR of 0.1167
Min_0% renyi_2   AUC 0.7162, Accuracy 0.6750, TPR@5% FPR of 0.1167
Min_0% renyi_inf   AUC 0.7162, Accuracy 0.6750, TPR@5% FPR of 0.1167
Min_5.0% renyi_05   AUC 0.6897, Accuracy 0.6450, TPR@5% FPR of 0.1167
Min_5.0% renyi_1   AUC 0.7145, Accuracy 0.6700, TPR@5% FPR of 0.1167
Min_5.0% renyi_2   AUC 0.7162, Accuracy 0.6750, TPR@5% FPR of 0.1167
Min_5.0% renyi_inf   AUC 0.7162, Accuracy 0.6750, TPR@5% FPR of 0.1167
Min_10.0% renyi_05   AUC 0.6897, Accuracy 0.6450, TPR@5% FPR of 0.1167
Min_10.0% renyi_1   AUC 0.7145, Accuracy 0.6700, TPR@5% FPR of 0.1167
Min_10.0% renyi_2   AUC 0.7162, Accuracy 0.6750, TPR@5% FPR of 0.1167
Min_10.0% renyi_inf   AUC 0.7162, Accuracy 0.6750, TPR@5% FPR of 0.1167
Min_20.0% renyi_05   AUC 0.7452, Accuracy 0.7050, TPR@5% FPR of 0.1567
Min_20.0% renyi_1   AUC 0.4218, Accuracy 0.5167, TPR@5% FPR of 0.0200
Min_20.0% renyi_2   AUC 0.4152, Accuracy 0.5200, TPR@5% FPR of 0.0167
Min_20.0% renyi_inf   AUC 0.4152, Accuracy 0.5200, TPR@5% FPR of 0.0167
Min_30.0% renyi_05   AUC 0.6265, Accuracy 0.6000, TPR@5% FPR of 0.1733
Min_30.0% renyi_1   AUC 0.6292, Accuracy 0.6033, TPR@5% FPR of 0.0833
Min_30.0% renyi_2   AUC 0.6204, Accuracy 0.5983, TPR@5% FPR of 0.0933
Min_30.0% renyi_inf   AUC 0.6202, Accuracy 0.5983, TPR@5% FPR of 0.0933
Min_40.0% renyi_05   AUC 0.6732, Accuracy 0.6183, TPR@5% FPR of 0.1667
Min_40.0% renyi_1   AUC 0.6669, Accuracy 0.6217, TPR@5% FPR of 0.1100
Min_40.0% renyi_2   AUC 0.6253, Accuracy 0.6217, TPR@5% FPR of 0.0900
Min_40.0% renyi_inf   AUC 0.6247, Accuracy 0.6217, TPR@5% FPR of 0.0900
Min_50.0% renyi_05   AUC 0.6870, Accuracy 0.6550, TPR@5% FPR of 0.1933
Min_50.0% renyi_1   AUC 0.6630, Accuracy 0.6400, TPR@5% FPR of 0.1467
Min_50.0% renyi_2   AUC 0.6881, Accuracy 0.6550, TPR@5% FPR of 0.0800
Min_50.0% renyi_inf   AUC 0.6849, Accuracy 0.6500, TPR@5% FPR of 0.0867
Min_60.0% renyi_05   AUC 0.6901, Accuracy 0.6533, TPR@5% FPR of 0.1933
Min_60.0% renyi_1   AUC 0.6903, Accuracy 0.6450, TPR@5% FPR of 0.1433
Min_60.0% renyi_2   AUC 0.6741, Accuracy 0.6450, TPR@5% FPR of 0.0933
Min_60.0% renyi_inf   AUC 0.6698, Accuracy 0.6450, TPR@5% FPR of 0.1033
Min_70.0% renyi_05   AUC 0.6963, Accuracy 0.6583, TPR@5% FPR of 0.1633
Min_70.0% renyi_1   AUC 0.6914, Accuracy 0.6433, TPR@5% FPR of 0.1600
Min_70.0% renyi_2   AUC 0.6538, Accuracy 0.6333, TPR@5% FPR of 0.1033
Min_70.0% renyi_inf   AUC 0.6264, Accuracy 0.6067, TPR@5% FPR of 0.1100
Min_80.0% renyi_05   AUC 0.7091, Accuracy 0.6633, TPR@5% FPR of 0.1867
Min_80.0% renyi_1   AUC 0.6901, Accuracy 0.6533, TPR@5% FPR of 0.1667
Min_80.0% renyi_2   AUC 0.6618, Accuracy 0.6400, TPR@5% FPR of 0.0967
Min_80.0% renyi_inf   AUC 0.6425, Accuracy 0.6300, TPR@5% FPR of 0.1133
Min_90.0% renyi_05   AUC 0.7092, Accuracy 0.6667, TPR@5% FPR of 0.1700
Min_90.0% renyi_1   AUC 0.6889, Accuracy 0.6700, TPR@5% FPR of 0.1267
Min_90.0% renyi_2   AUC 0.6631, Accuracy 0.6467, TPR@5% FPR of 0.1167
Min_90.0% renyi_inf   AUC 0.6494, Accuracy 0.6283, TPR@5% FPR of 0.0967
Min_100% renyi_05   AUC 0.7263, Accuracy 0.6817, TPR@5% FPR of 0.2167
Min_100% renyi_1   AUC 0.7198, Accuracy 0.6950, TPR@5% FPR of 0.1167
Min_100% renyi_2   AUC 0.6938, Accuracy 0.6667, TPR@5% FPR of 0.0933
Min_100% renyi_inf   AUC 0.6729, Accuracy 0.6483, TPR@5% FPR of 0.1133
