Min_0% renyi_1   AUC 0.5553, Accuracy 0.5760, TPR@5% FPR of 0.0642
Min_0% renyi_2   AUC 0.5531, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_0% renyi_inf   AUC 0.5530, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_5.0% renyi_05   AUC 0.5672, Accuracy 0.5726, TPR@5% FPR of 0.0473
Min_5.0% renyi_1   AUC 0.5553, Accuracy 0.5760, TPR@5% FPR of 0.0642
Min_5.0% renyi_2   AUC 0.5531, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_5.0% renyi_inf   AUC 0.5530, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_10.0% renyi_05   AUC 0.5972, Accuracy 0.5946, TPR@5% FPR of 0.0507
Min_10.0% renyi_1   AUC 0.5942, Accuracy 0.5963, TPR@5% FPR of 0.0405
Min_10.0% renyi_2   AUC 0.5944, Accuracy 0.5929, TPR@5% FPR of 0.0473
Min_10.0% renyi_inf   AUC 0.5943, Accuracy 0.5929, TPR@5% FPR of 0.0473
Min_20.0% renyi_05   AUC 0.6018, Accuracy 0.5878, TPR@5% FPR of 0.0676
Min_20.0% renyi_1   AUC 0.6067, Accuracy 0.5912, TPR@5% FPR of 0.0372
Min_20.0% renyi_2   AUC 0.6068, Accuracy 0.5963, TPR@5% FPR of 0.0372
Min_20.0% renyi_inf   AUC 0.6066, Accuracy 0.5980, TPR@5% FPR of 0.0372
Min_30.0% renyi_05   AUC 0.6007, Accuracy 0.5895, TPR@5% FPR of 0.0608
Min_30.0% renyi_1   AUC 0.6011, Accuracy 0.5895, TPR@5% FPR of 0.0980
Min_30.0% renyi_2   AUC 0.5936, Accuracy 0.5777, TPR@5% FPR of 0.1014
Min_30.0% renyi_inf   AUC 0.5936, Accuracy 0.5760, TPR@5% FPR of 0.1014
Min_40.0% renyi_05   AUC 0.5924, Accuracy 0.5878, TPR@5% FPR of 0.0709
Min_40.0% renyi_1   AUC 0.5920, Accuracy 0.5878, TPR@5% FPR of 0.0980
Min_40.0% renyi_2   AUC 0.5839, Accuracy 0.5811, TPR@5% FPR of 0.0980
Min_40.0% renyi_inf   AUC 0.5836, Accuracy 0.5794, TPR@5% FPR of 0.0980
Min_50.0% renyi_05   AUC 0.5887, Accuracy 0.5794, TPR@5% FPR of 0.0743
Min_50.0% renyi_1   AUC 0.5853, Accuracy 0.5777, TPR@5% FPR of 0.0946
Min_50.0% renyi_2   AUC 0.5764, Accuracy 0.5726, TPR@5% FPR of 0.0980
Min_50.0% renyi_inf   AUC 0.5755, Accuracy 0.5743, TPR@5% FPR of 0.0980
Min_60.0% renyi_05   AUC 0.5858, Accuracy 0.5878, TPR@5% FPR of 0.0845
Min_60.0% renyi_1   AUC 0.5763, Accuracy 0.5760, TPR@5% FPR of 0.1047
Min_60.0% renyi_2   AUC 0.5722, Accuracy 0.5693, TPR@5% FPR of 0.1115
Min_60.0% renyi_inf   AUC 0.5717, Accuracy 0.5743, TPR@5% FPR of 0.0980
Min_70.0% renyi_05   AUC 0.5824, Accuracy 0.5878, TPR@5% FPR of 0.0811
Min_70.0% renyi_1   AUC 0.5687, Accuracy 0.5726, TPR@5% FPR of 0.1149
Min_70.0% renyi_2   AUC 0.5678, Accuracy 0.5642, TPR@5% FPR of 0.1047
Min_70.0% renyi_inf   AUC 0.5666, Accuracy 0.5642, TPR@5% FPR of 0.1081
Min_80.0% renyi_05   AUC 0.5781, Accuracy 0.5845, TPR@5% FPR of 0.0811
Min_80.0% renyi_1   AUC 0.5648, Accuracy 0.5777, TPR@5% FPR of 0.0980
Min_80.0% renyi_2   AUC 0.5624, Accuracy 0.5642, TPR@5% FPR of 0.1081
Min_80.0% renyi_inf   AUC 0.5625, Accuracy 0.5625, TPR@5% FPR of 0.1047
Min_90.0% renyi_05   AUC 0.5759, Accuracy 0.5861, TPR@5% FPR of 0.0845
Min_90.0% renyi_1   AUC 0.5619, Accuracy 0.5760, TPR@5% FPR of 0.0912
Min_90.0% renyi_2   AUC 0.5589, Accuracy 0.5659, TPR@5% FPR of 0.1014
Min_90.0% renyi_inf   AUC 0.5614, Accuracy 0.5608, TPR@5% FPR of 0.0946
Min_100% renyi_05   AUC 0.5754, Accuracy 0.5912, TPR@5% FPR of 0.0946
Min_100% renyi_1   AUC 0.5635, Accuracy 0.5828, TPR@5% FPR of 0.0811
Min_100% renyi_2   AUC 0.5601, Accuracy 0.5625, TPR@5% FPR of 0.1014
Min_100% renyi_inf   AUC 0.5637, Accuracy 0.5625, TPR@5% FPR of 0.0811
