Min_0% renyi_1   AUC 0.5723, Accuracy 0.5750, TPR@5% FPR of 0.0667
Min_0% renyi_2   AUC 0.5516, Accuracy 0.5533, TPR@5% FPR of 0.0467
Min_0% renyi_inf   AUC 0.5492, Accuracy 0.5500, TPR@5% FPR of 0.0467
Min_5.0% renyi_05   AUC 0.6219, Accuracy 0.6317, TPR@5% FPR of 0.0633
Min_5.0% renyi_1   AUC 0.5723, Accuracy 0.5750, TPR@5% FPR of 0.0667
Min_5.0% renyi_2   AUC 0.5516, Accuracy 0.5533, TPR@5% FPR of 0.0467
Min_5.0% renyi_inf   AUC 0.5492, Accuracy 0.5500, TPR@5% FPR of 0.0467
Min_10.0% renyi_05   AUC 0.6373, Accuracy 0.6517, TPR@5% FPR of 0.0700
Min_10.0% renyi_1   AUC 0.5813, Accuracy 0.5717, TPR@5% FPR of 0.0667
Min_10.0% renyi_2   AUC 0.5413, Accuracy 0.5400, TPR@5% FPR of 0.0500
Min_10.0% renyi_inf   AUC 0.5395, Accuracy 0.5467, TPR@5% FPR of 0.0467
Min_20.0% renyi_05   AUC 0.6326, Accuracy 0.6333, TPR@5% FPR of 0.0867
Min_20.0% renyi_1   AUC 0.5883, Accuracy 0.5750, TPR@5% FPR of 0.0667
Min_20.0% renyi_2   AUC 0.5512, Accuracy 0.5483, TPR@5% FPR of 0.0667
Min_20.0% renyi_inf   AUC 0.5502, Accuracy 0.5517, TPR@5% FPR of 0.0633
Min_30.0% renyi_05   AUC 0.6313, Accuracy 0.6167, TPR@5% FPR of 0.1033
Min_30.0% renyi_1   AUC 0.5930, Accuracy 0.5833, TPR@5% FPR of 0.1233
Min_30.0% renyi_2   AUC 0.5529, Accuracy 0.5483, TPR@5% FPR of 0.0767
Min_30.0% renyi_inf   AUC 0.5485, Accuracy 0.5500, TPR@5% FPR of 0.0700
Min_40.0% renyi_05   AUC 0.6288, Accuracy 0.6083, TPR@5% FPR of 0.1267
Min_40.0% renyi_1   AUC 0.5912, Accuracy 0.5800, TPR@5% FPR of 0.1167
Min_40.0% renyi_2   AUC 0.5492, Accuracy 0.5517, TPR@5% FPR of 0.0767
Min_40.0% renyi_inf   AUC 0.5427, Accuracy 0.5400, TPR@5% FPR of 0.0900
Min_50.0% renyi_05   AUC 0.6275, Accuracy 0.6083, TPR@5% FPR of 0.1167
Min_50.0% renyi_1   AUC 0.5865, Accuracy 0.5800, TPR@5% FPR of 0.1167
Min_50.0% renyi_2   AUC 0.5490, Accuracy 0.5533, TPR@5% FPR of 0.0767
Min_50.0% renyi_inf   AUC 0.5393, Accuracy 0.5483, TPR@5% FPR of 0.0833
Min_60.0% renyi_05   AUC 0.6263, Accuracy 0.6150, TPR@5% FPR of 0.1233
Min_60.0% renyi_1   AUC 0.5881, Accuracy 0.5850, TPR@5% FPR of 0.1067
Min_60.0% renyi_2   AUC 0.5516, Accuracy 0.5567, TPR@5% FPR of 0.0800
Min_60.0% renyi_inf   AUC 0.5405, Accuracy 0.5383, TPR@5% FPR of 0.0833
Min_70.0% renyi_05   AUC 0.6270, Accuracy 0.6200, TPR@5% FPR of 0.1367
Min_70.0% renyi_1   AUC 0.5947, Accuracy 0.5867, TPR@5% FPR of 0.1133
Min_70.0% renyi_2   AUC 0.5643, Accuracy 0.5633, TPR@5% FPR of 0.1033
Min_70.0% renyi_inf   AUC 0.5481, Accuracy 0.5400, TPR@5% FPR of 0.0800
Min_80.0% renyi_05   AUC 0.6176, Accuracy 0.6233, TPR@5% FPR of 0.1233
Min_80.0% renyi_1   AUC 0.5945, Accuracy 0.5850, TPR@5% FPR of 0.0933
Min_80.0% renyi_2   AUC 0.5790, Accuracy 0.5633, TPR@5% FPR of 0.1033
Min_80.0% renyi_inf   AUC 0.5609, Accuracy 0.5500, TPR@5% FPR of 0.0967
Min_90.0% renyi_05   AUC 0.6160, Accuracy 0.6217, TPR@5% FPR of 0.1100
Min_90.0% renyi_1   AUC 0.6025, Accuracy 0.5883, TPR@5% FPR of 0.1267
Min_90.0% renyi_2   AUC 0.5898, Accuracy 0.5750, TPR@5% FPR of 0.0967
Min_90.0% renyi_inf   AUC 0.5740, Accuracy 0.5617, TPR@5% FPR of 0.0700
Min_100% renyi_05   AUC 0.6130, Accuracy 0.6150, TPR@5% FPR of 0.1133
Min_100% renyi_1   AUC 0.5931, Accuracy 0.5800, TPR@5% FPR of 0.1000
Min_100% renyi_2   AUC 0.5832, Accuracy 0.5850, TPR@5% FPR of 0.0867
Min_100% renyi_inf   AUC 0.5761, Accuracy 0.5667, TPR@5% FPR of 0.0600
