Min_0% renyi_1   AUC 0.2941, Accuracy 0.5167, TPR@5% FPR of 0.0667
Min_0% renyi_2   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_0% renyi_inf   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_5.0% renyi_05   AUC 0.3304, Accuracy 0.5333, TPR@5% FPR of 0.1100
Min_5.0% renyi_1   AUC 0.2941, Accuracy 0.5167, TPR@5% FPR of 0.0667
Min_5.0% renyi_2   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_5.0% renyi_inf   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_10.0% renyi_05   AUC 0.3304, Accuracy 0.5333, TPR@5% FPR of 0.1100
Min_10.0% renyi_1   AUC 0.2941, Accuracy 0.5167, TPR@5% FPR of 0.0667
Min_10.0% renyi_2   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_10.0% renyi_inf   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_20.0% renyi_05   AUC 0.3500, Accuracy 0.5317, TPR@5% FPR of 0.0967
Min_20.0% renyi_1   AUC 0.3280, Accuracy 0.5017, TPR@5% FPR of 0.0400
Min_20.0% renyi_2   AUC 0.3009, Accuracy 0.5000, TPR@5% FPR of 0.0267
Min_20.0% renyi_inf   AUC 0.3004, Accuracy 0.5000, TPR@5% FPR of 0.0267
Min_30.0% renyi_05   AUC 0.3231, Accuracy 0.5233, TPR@5% FPR of 0.0733
Min_30.0% renyi_1   AUC 0.3266, Accuracy 0.5033, TPR@5% FPR of 0.0367
Min_30.0% renyi_2   AUC 0.3682, Accuracy 0.5033, TPR@5% FPR of 0.0400
Min_30.0% renyi_inf   AUC 0.3700, Accuracy 0.5033, TPR@5% FPR of 0.0400
Min_40.0% renyi_05   AUC 0.3057, Accuracy 0.5150, TPR@5% FPR of 0.0633
Min_40.0% renyi_1   AUC 0.2285, Accuracy 0.5017, TPR@5% FPR of 0.0167
Min_40.0% renyi_2   AUC 0.2637, Accuracy 0.5017, TPR@5% FPR of 0.0200
Min_40.0% renyi_inf   AUC 0.2672, Accuracy 0.5017, TPR@5% FPR of 0.0200
Min_50.0% renyi_05   AUC 0.2807, Accuracy 0.5117, TPR@5% FPR of 0.0500
Min_50.0% renyi_1   AUC 0.1938, Accuracy 0.5017, TPR@5% FPR of 0.0300
Min_50.0% renyi_2   AUC 0.2229, Accuracy 0.5000, TPR@5% FPR of 0.0133
Min_50.0% renyi_inf   AUC 0.2287, Accuracy 0.5000, TPR@5% FPR of 0.0133
Min_60.0% renyi_05   AUC 0.2788, Accuracy 0.5133, TPR@5% FPR of 0.0533
Min_60.0% renyi_1   AUC 0.1993, Accuracy 0.5033, TPR@5% FPR of 0.0300
Min_60.0% renyi_2   AUC 0.2271, Accuracy 0.5000, TPR@5% FPR of 0.0167
Min_60.0% renyi_inf   AUC 0.2355, Accuracy 0.5000, TPR@5% FPR of 0.0167
Min_70.0% renyi_05   AUC 0.2759, Accuracy 0.5100, TPR@5% FPR of 0.0500
Min_70.0% renyi_1   AUC 0.2152, Accuracy 0.5017, TPR@5% FPR of 0.0333
Min_70.0% renyi_2   AUC 0.2368, Accuracy 0.5017, TPR@5% FPR of 0.0233
Min_70.0% renyi_inf   AUC 0.2420, Accuracy 0.5000, TPR@5% FPR of 0.0233
Min_80.0% renyi_05   AUC 0.2672, Accuracy 0.5133, TPR@5% FPR of 0.0467
Min_80.0% renyi_1   AUC 0.2293, Accuracy 0.5033, TPR@5% FPR of 0.0267
Min_80.0% renyi_2   AUC 0.2556, Accuracy 0.5017, TPR@5% FPR of 0.0333
Min_80.0% renyi_inf   AUC 0.2564, Accuracy 0.5000, TPR@5% FPR of 0.0200
Min_90.0% renyi_05   AUC 0.2754, Accuracy 0.5117, TPR@5% FPR of 0.0600
Min_90.0% renyi_1   AUC 0.2359, Accuracy 0.5033, TPR@5% FPR of 0.0233
Min_90.0% renyi_2   AUC 0.2674, Accuracy 0.5067, TPR@5% FPR of 0.0367
Min_90.0% renyi_inf   AUC 0.2825, Accuracy 0.5033, TPR@5% FPR of 0.0367
Min_100% renyi_05   AUC 0.3031, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_100% renyi_1   AUC 0.2976, Accuracy 0.5050, TPR@5% FPR of 0.0367
Min_100% renyi_2   AUC 0.3190, Accuracy 0.5083, TPR@5% FPR of 0.0367
Min_100% renyi_inf   AUC 0.3406, Accuracy 0.5050, TPR@5% FPR of 0.0233
