aug_kl   AUC 0.4968, Accuracy 0.5300, TPR@5% FPR of 0.0300
Min_0% renyi_1   AUC 0.6692, Accuracy 0.6333, TPR@5% FPR of 0.0900
Min_0% renyi_2   AUC 0.6707, Accuracy 0.6383, TPR@5% FPR of 0.0867
Min_0% renyi_inf   AUC 0.6707, Accuracy 0.6383, TPR@5% FPR of 0.0867
Min_5.0% renyi_05   AUC 0.6410, Accuracy 0.6033, TPR@5% FPR of 0.1800
Min_5.0% renyi_1   AUC 0.6692, Accuracy 0.6333, TPR@5% FPR of 0.0900
Min_5.0% renyi_2   AUC 0.6707, Accuracy 0.6383, TPR@5% FPR of 0.0867
Min_5.0% renyi_inf   AUC 0.6707, Accuracy 0.6383, TPR@5% FPR of 0.0867
Min_10.0% renyi_05   AUC 0.6381, Accuracy 0.6067, TPR@5% FPR of 0.1867
Min_10.0% renyi_1   AUC 0.6326, Accuracy 0.6150, TPR@5% FPR of 0.1633
Min_10.0% renyi_2   AUC 0.6316, Accuracy 0.6150, TPR@5% FPR of 0.1533
Min_10.0% renyi_inf   AUC 0.6316, Accuracy 0.6150, TPR@5% FPR of 0.1533
Min_20.0% renyi_05   AUC 0.6582, Accuracy 0.6283, TPR@5% FPR of 0.2167
Min_20.0% renyi_1   AUC 0.6244, Accuracy 0.6000, TPR@5% FPR of 0.1967
Min_20.0% renyi_2   AUC 0.6241, Accuracy 0.5967, TPR@5% FPR of 0.2000
Min_20.0% renyi_inf   AUC 0.6243, Accuracy 0.5967, TPR@5% FPR of 0.2000
Min_30.0% renyi_05   AUC 0.6702, Accuracy 0.6383, TPR@5% FPR of 0.1600
Min_30.0% renyi_1   AUC 0.6364, Accuracy 0.5967, TPR@5% FPR of 0.1500
Min_30.0% renyi_2   AUC 0.6351, Accuracy 0.5983, TPR@5% FPR of 0.1600
Min_30.0% renyi_inf   AUC 0.6351, Accuracy 0.5983, TPR@5% FPR of 0.1600
Min_40.0% renyi_05   AUC 0.6822, Accuracy 0.6550, TPR@5% FPR of 0.1633
Min_40.0% renyi_1   AUC 0.6485, Accuracy 0.6133, TPR@5% FPR of 0.1133
Min_40.0% renyi_2   AUC 0.6399, Accuracy 0.6067, TPR@5% FPR of 0.0933
Min_40.0% renyi_inf   AUC 0.6398, Accuracy 0.6083, TPR@5% FPR of 0.0967
Min_50.0% renyi_05   AUC 0.6902, Accuracy 0.6717, TPR@5% FPR of 0.1467
Min_50.0% renyi_1   AUC 0.6581, Accuracy 0.6183, TPR@5% FPR of 0.1333
Min_50.0% renyi_2   AUC 0.6497, Accuracy 0.6150, TPR@5% FPR of 0.1533
Min_50.0% renyi_inf   AUC 0.6504, Accuracy 0.6200, TPR@5% FPR of 0.1467
Min_60.0% renyi_05   AUC 0.6970, Accuracy 0.6683, TPR@5% FPR of 0.1567
Min_60.0% renyi_1   AUC 0.6716, Accuracy 0.6317, TPR@5% FPR of 0.1367
Min_60.0% renyi_2   AUC 0.6570, Accuracy 0.6267, TPR@5% FPR of 0.1767
Min_60.0% renyi_inf   AUC 0.6520, Accuracy 0.6317, TPR@5% FPR of 0.1700
Min_70.0% renyi_05   AUC 0.7052, Accuracy 0.6700, TPR@5% FPR of 0.1733
Min_70.0% renyi_1   AUC 0.6809, Accuracy 0.6467, TPR@5% FPR of 0.1667
Min_70.0% renyi_2   AUC 0.6588, Accuracy 0.6333, TPR@5% FPR of 0.1700
Min_70.0% renyi_inf   AUC 0.6494, Accuracy 0.6317, TPR@5% FPR of 0.1667
Min_80.0% renyi_05   AUC 0.7096, Accuracy 0.6650, TPR@5% FPR of 0.1733
Min_80.0% renyi_1   AUC 0.6877, Accuracy 0.6500, TPR@5% FPR of 0.1700
Min_80.0% renyi_2   AUC 0.6602, Accuracy 0.6367, TPR@5% FPR of 0.1533
Min_80.0% renyi_inf   AUC 0.6467, Accuracy 0.6217, TPR@5% FPR of 0.1600
Min_90.0% renyi_05   AUC 0.7114, Accuracy 0.6667, TPR@5% FPR of 0.1767
Min_90.0% renyi_1   AUC 0.6925, Accuracy 0.6517, TPR@5% FPR of 0.1700
Min_90.0% renyi_2   AUC 0.6672, Accuracy 0.6267, TPR@5% FPR of 0.1467
Min_90.0% renyi_inf   AUC 0.6499, Accuracy 0.6200, TPR@5% FPR of 0.1367
Min_100% renyi_05   AUC 0.7131, Accuracy 0.6667, TPR@5% FPR of 0.1633
Min_100% renyi_1   AUC 0.7017, Accuracy 0.6550, TPR@5% FPR of 0.1367
Min_100% renyi_2   AUC 0.6826, Accuracy 0.6400, TPR@5% FPR of 0.1733
Min_100% renyi_inf   AUC 0.6668, Accuracy 0.6267, TPR@5% FPR of 0.1300
