Min_0% renyi_1   AUC 0.5712, Accuracy 0.5883, TPR@5% FPR of 0.0300
Min_0% renyi_2   AUC 0.5728, Accuracy 0.5867, TPR@5% FPR of 0.0233
Min_0% renyi_inf   AUC 0.5728, Accuracy 0.5867, TPR@5% FPR of 0.0233
Min_5.0% renyi_05   AUC 0.5368, Accuracy 0.5450, TPR@5% FPR of 0.0267
Min_5.0% renyi_1   AUC 0.5712, Accuracy 0.5883, TPR@5% FPR of 0.0300
Min_5.0% renyi_2   AUC 0.5728, Accuracy 0.5867, TPR@5% FPR of 0.0233
Min_5.0% renyi_inf   AUC 0.5728, Accuracy 0.5867, TPR@5% FPR of 0.0233
Min_10.0% renyi_05   AUC 0.5565, Accuracy 0.5650, TPR@5% FPR of 0.0967
Min_10.0% renyi_1   AUC 0.5908, Accuracy 0.5917, TPR@5% FPR of 0.1200
Min_10.0% renyi_2   AUC 0.5914, Accuracy 0.5900, TPR@5% FPR of 0.1200
Min_10.0% renyi_inf   AUC 0.5913, Accuracy 0.5900, TPR@5% FPR of 0.1200
Min_20.0% renyi_05   AUC 0.5807, Accuracy 0.5850, TPR@5% FPR of 0.1000
Min_20.0% renyi_1   AUC 0.5823, Accuracy 0.5917, TPR@5% FPR of 0.1067
Min_20.0% renyi_2   AUC 0.5821, Accuracy 0.5933, TPR@5% FPR of 0.1100
Min_20.0% renyi_inf   AUC 0.5821, Accuracy 0.5933, TPR@5% FPR of 0.1100
Min_30.0% renyi_05   AUC 0.5695, Accuracy 0.5783, TPR@5% FPR of 0.0733
Min_30.0% renyi_1   AUC 0.5629, Accuracy 0.5717, TPR@5% FPR of 0.0700
Min_30.0% renyi_2   AUC 0.5609, Accuracy 0.5700, TPR@5% FPR of 0.0733
Min_30.0% renyi_inf   AUC 0.5607, Accuracy 0.5700, TPR@5% FPR of 0.0733
Min_40.0% renyi_05   AUC 0.5505, Accuracy 0.5717, TPR@5% FPR of 0.0733
Min_40.0% renyi_1   AUC 0.5539, Accuracy 0.5817, TPR@5% FPR of 0.0633
Min_40.0% renyi_2   AUC 0.5533, Accuracy 0.5750, TPR@5% FPR of 0.0600
Min_40.0% renyi_inf   AUC 0.5529, Accuracy 0.5750, TPR@5% FPR of 0.0600
Min_50.0% renyi_05   AUC 0.5323, Accuracy 0.5533, TPR@5% FPR of 0.0933
Min_50.0% renyi_1   AUC 0.5512, Accuracy 0.5817, TPR@5% FPR of 0.0500
Min_50.0% renyi_2   AUC 0.5502, Accuracy 0.5717, TPR@5% FPR of 0.0467
Min_50.0% renyi_inf   AUC 0.5488, Accuracy 0.5717, TPR@5% FPR of 0.0467
Min_60.0% renyi_05   AUC 0.5200, Accuracy 0.5500, TPR@5% FPR of 0.0833
Min_60.0% renyi_1   AUC 0.5504, Accuracy 0.5717, TPR@5% FPR of 0.0700
