aug_kl   AUC 0.5760, Accuracy 0.5650, TPR@5% FPR of 0.1000
Min_0% renyi_1   AUC 0.5712, Accuracy 0.5883, TPR@5% FPR of 0.0300
Min_0% renyi_2   AUC 0.5728, Accuracy 0.5867, TPR@5% FPR of 0.0233
Min_0% renyi_inf   AUC 0.5728, Accuracy 0.5867, TPR@5% FPR of 0.0233
Min_5.0% renyi_05   AUC 0.5561, Accuracy 0.5600, TPR@5% FPR of 0.0467
Min_5.0% renyi_1   AUC 0.5977, Accuracy 0.6017, TPR@5% FPR of 0.0533
Min_5.0% renyi_2   AUC 0.5986, Accuracy 0.6050, TPR@5% FPR of 0.0567
Min_5.0% renyi_inf   AUC 0.5987, Accuracy 0.6050, TPR@5% FPR of 0.0567
Min_10.0% renyi_05   AUC 0.5718, Accuracy 0.5817, TPR@5% FPR of 0.1067
Min_10.0% renyi_1   AUC 0.5976, Accuracy 0.5983, TPR@5% FPR of 0.1067
Min_10.0% renyi_2   AUC 0.5943, Accuracy 0.6050, TPR@5% FPR of 0.1167
Min_10.0% renyi_inf   AUC 0.5943, Accuracy 0.6050, TPR@5% FPR of 0.1167
Min_20.0% renyi_05   AUC 0.5695, Accuracy 0.5783, TPR@5% FPR of 0.0733
Min_20.0% renyi_1   AUC 0.5392, Accuracy 0.5567, TPR@5% FPR of 0.0567
Min_20.0% renyi_2   AUC 0.5408, Accuracy 0.5567, TPR@5% FPR of 0.0567
Min_20.0% renyi_inf   AUC 0.5409, Accuracy 0.5567, TPR@5% FPR of 0.0567
Min_30.0% renyi_05   AUC 0.5437, Accuracy 0.5667, TPR@5% FPR of 0.0833
Min_30.0% renyi_1   AUC 0.5264, Accuracy 0.5550, TPR@5% FPR of 0.0467
Min_30.0% renyi_2   AUC 0.5340, Accuracy 0.5583, TPR@5% FPR of 0.0367
Min_30.0% renyi_inf   AUC 0.5342, Accuracy 0.5600, TPR@5% FPR of 0.0367
Min_40.0% renyi_05   AUC 0.5203, Accuracy 0.5500, TPR@5% FPR of 0.0833
Min_40.0% renyi_1   AUC 0.5261, Accuracy 0.5600, TPR@5% FPR of 0.0233
Min_40.0% renyi_2   AUC 0.5300, Accuracy 0.5583, TPR@5% FPR of 0.0233
Min_40.0% renyi_inf   AUC 0.5287, Accuracy 0.5567, TPR@5% FPR of 0.0233
Min_50.0% renyi_05   AUC 0.5095, Accuracy 0.5417, TPR@5% FPR of 0.0733
Min_50.0% renyi_1   AUC 0.5224, Accuracy 0.5550, TPR@5% FPR of 0.0700
Min_50.0% renyi_2   AUC 0.5004, Accuracy 0.5483, TPR@5% FPR of 0.0567
Min_50.0% renyi_inf   AUC 0.4952, Accuracy 0.5483, TPR@5% FPR of 0.0600
Min_60.0% renyi_05   AUC 0.4994, Accuracy 0.5417, TPR@5% FPR of 0.0733
