Min_0% renyi_1   AUC 0.5706, Accuracy 0.5895, TPR@5% FPR of 0.0878
Min_0% renyi_2   AUC 0.5689, Accuracy 0.5693, TPR@5% FPR of 0.1047
Min_0% renyi_inf   AUC 0.5690, Accuracy 0.5693, TPR@5% FPR of 0.1047
Min_5.0% renyi_05   AUC 0.5898, Accuracy 0.5760, TPR@5% FPR of 0.1115
Min_5.0% renyi_1   AUC 0.5706, Accuracy 0.5895, TPR@5% FPR of 0.0878
Min_5.0% renyi_2   AUC 0.5689, Accuracy 0.5693, TPR@5% FPR of 0.1047
Min_5.0% renyi_inf   AUC 0.5690, Accuracy 0.5693, TPR@5% FPR of 0.1047
Min_10.0% renyi_05   AUC 0.5898, Accuracy 0.5760, TPR@5% FPR of 0.1115
Min_10.0% renyi_1   AUC 0.5706, Accuracy 0.5895, TPR@5% FPR of 0.0878
Min_10.0% renyi_2   AUC 0.5689, Accuracy 0.5693, TPR@5% FPR of 0.1047
Min_10.0% renyi_inf   AUC 0.5690, Accuracy 0.5693, TPR@5% FPR of 0.1047
Min_20.0% renyi_05   AUC 0.6435, Accuracy 0.6216, TPR@5% FPR of 0.1216
Min_20.0% renyi_1   AUC 0.6888, Accuracy 0.6385, TPR@5% FPR of 0.1723
Min_20.0% renyi_2   AUC 0.6877, Accuracy 0.6368, TPR@5% FPR of 0.1588
Min_20.0% renyi_inf   AUC 0.6874, Accuracy 0.6368, TPR@5% FPR of 0.1588
Min_30.0% renyi_05   AUC 0.6495, Accuracy 0.6402, TPR@5% FPR of 0.1149
Min_30.0% renyi_1   AUC 0.6088, Accuracy 0.5980, TPR@5% FPR of 0.1554
Min_30.0% renyi_2   AUC 0.6036, Accuracy 0.6081, TPR@5% FPR of 0.1791
Min_30.0% renyi_inf   AUC 0.6034, Accuracy 0.6081, TPR@5% FPR of 0.1791
Min_40.0% renyi_05   AUC 0.6477, Accuracy 0.6351, TPR@5% FPR of 0.0912
Min_40.0% renyi_1   AUC 0.5766, Accuracy 0.5693, TPR@5% FPR of 0.0878
Min_40.0% renyi_2   AUC 0.5337, Accuracy 0.5507, TPR@5% FPR of 0.0777
Min_40.0% renyi_inf   AUC 0.5334, Accuracy 0.5524, TPR@5% FPR of 0.0743
Min_50.0% renyi_05   AUC 0.6511, Accuracy 0.6334, TPR@5% FPR of 0.1014
Min_50.0% renyi_1   AUC 0.5815, Accuracy 0.5709, TPR@5% FPR of 0.1216
Min_50.0% renyi_2   AUC 0.5286, Accuracy 0.5473, TPR@5% FPR of 0.0912
Min_50.0% renyi_inf   AUC 0.5243, Accuracy 0.5439, TPR@5% FPR of 0.0912
Min_60.0% renyi_05   AUC 0.6513, Accuracy 0.6385, TPR@5% FPR of 0.1115
Min_60.0% renyi_1   AUC 0.5801, Accuracy 0.5676, TPR@5% FPR of 0.1081
Min_60.0% renyi_2   AUC 0.5402, Accuracy 0.5557, TPR@5% FPR of 0.1014
Min_60.0% renyi_inf   AUC 0.5352, Accuracy 0.5557, TPR@5% FPR of 0.0980
Min_70.0% renyi_05   AUC 0.6502, Accuracy 0.6368, TPR@5% FPR of 0.1047
Min_70.0% renyi_1   AUC 0.5737, Accuracy 0.5760, TPR@5% FPR of 0.0912
Min_70.0% renyi_2   AUC 0.5382, Accuracy 0.5473, TPR@5% FPR of 0.0743
Min_70.0% renyi_inf   AUC 0.5323, Accuracy 0.5405, TPR@5% FPR of 0.0777
Min_80.0% renyi_05   AUC 0.6474, Accuracy 0.6318, TPR@5% FPR of 0.1014
Min_80.0% renyi_1   AUC 0.5822, Accuracy 0.5794, TPR@5% FPR of 0.0777
Min_80.0% renyi_2   AUC 0.5468, Accuracy 0.5557, TPR@5% FPR of 0.0642
Min_80.0% renyi_inf   AUC 0.5320, Accuracy 0.5456, TPR@5% FPR of 0.0608
Min_90.0% renyi_05   AUC 0.6473, Accuracy 0.6334, TPR@5% FPR of 0.1081
Min_90.0% renyi_1   AUC 0.5882, Accuracy 0.5828, TPR@5% FPR of 0.0777
Min_90.0% renyi_2   AUC 0.5551, Accuracy 0.5608, TPR@5% FPR of 0.0676
Min_90.0% renyi_inf   AUC 0.5293, Accuracy 0.5439, TPR@5% FPR of 0.0608
Min_100% renyi_05   AUC 0.6563, Accuracy 0.6402, TPR@5% FPR of 0.1149
Min_100% renyi_1   AUC 0.6043, Accuracy 0.5895, TPR@5% FPR of 0.1047
Min_100% renyi_2   AUC 0.5551, Accuracy 0.5574, TPR@5% FPR of 0.0777
Min_100% renyi_inf   AUC 0.5223, Accuracy 0.5372, TPR@5% FPR of 0.0608
