aug_kl   AUC 0.4722, Accuracy 0.5118, TPR@5% FPR of 0.0541
Min_0% renyi_1   AUC 0.5565, Accuracy 0.5895, TPR@5% FPR of 0.0642
Min_0% renyi_2   AUC 0.5542, Accuracy 0.5828, TPR@5% FPR of 0.0608
Min_0% renyi_inf   AUC 0.5542, Accuracy 0.5828, TPR@5% FPR of 0.0608
Min_5.0% renyi_05   AUC 0.5913, Accuracy 0.5811, TPR@5% FPR of 0.0777
Min_5.0% renyi_1   AUC 0.5764, Accuracy 0.5845, TPR@5% FPR of 0.0676
Min_5.0% renyi_2   AUC 0.5761, Accuracy 0.5845, TPR@5% FPR of 0.0541
Min_5.0% renyi_inf   AUC 0.5761, Accuracy 0.5845, TPR@5% FPR of 0.0541
Min_10.0% renyi_05   AUC 0.6027, Accuracy 0.5946, TPR@5% FPR of 0.0439
Min_10.0% renyi_1   AUC 0.5941, Accuracy 0.5878, TPR@5% FPR of 0.0507
Min_10.0% renyi_2   AUC 0.5907, Accuracy 0.5828, TPR@5% FPR of 0.0473
Min_10.0% renyi_inf   AUC 0.5908, Accuracy 0.5828, TPR@5% FPR of 0.0473
Min_20.0% renyi_05   AUC 0.6070, Accuracy 0.5946, TPR@5% FPR of 0.0608
Min_20.0% renyi_1   AUC 0.6086, Accuracy 0.5845, TPR@5% FPR of 0.0372
Min_20.0% renyi_2   AUC 0.6130, Accuracy 0.5946, TPR@5% FPR of 0.0372
Min_20.0% renyi_inf   AUC 0.6132, Accuracy 0.5946, TPR@5% FPR of 0.0372
Min_30.0% renyi_05   AUC 0.5964, Accuracy 0.5912, TPR@5% FPR of 0.0541
Min_30.0% renyi_1   AUC 0.6066, Accuracy 0.5929, TPR@5% FPR of 0.0980
Min_30.0% renyi_2   AUC 0.6008, Accuracy 0.5811, TPR@5% FPR of 0.1014
Min_30.0% renyi_inf   AUC 0.6000, Accuracy 0.5811, TPR@5% FPR of 0.1014
Min_40.0% renyi_05   AUC 0.5858, Accuracy 0.5794, TPR@5% FPR of 0.0777
Min_40.0% renyi_1   AUC 0.5968, Accuracy 0.5895, TPR@5% FPR of 0.0946
Min_40.0% renyi_2   AUC 0.5878, Accuracy 0.5828, TPR@5% FPR of 0.0946
Min_40.0% renyi_inf   AUC 0.5883, Accuracy 0.5845, TPR@5% FPR of 0.0946
Min_50.0% renyi_05   AUC 0.5839, Accuracy 0.5878, TPR@5% FPR of 0.0811
Min_50.0% renyi_1   AUC 0.5841, Accuracy 0.5811, TPR@5% FPR of 0.1014
Min_50.0% renyi_2   AUC 0.5819, Accuracy 0.5811, TPR@5% FPR of 0.0946
Min_50.0% renyi_inf   AUC 0.5809, Accuracy 0.5777, TPR@5% FPR of 0.0912
Min_60.0% renyi_05   AUC 0.5817, Accuracy 0.5878, TPR@5% FPR of 0.0811
Min_60.0% renyi_1   AUC 0.5755, Accuracy 0.5760, TPR@5% FPR of 0.1014
Min_60.0% renyi_2   AUC 0.5791, Accuracy 0.5743, TPR@5% FPR of 0.1014
Min_60.0% renyi_inf   AUC 0.5783, Accuracy 0.5794, TPR@5% FPR of 0.1014
Min_70.0% renyi_05   AUC 0.5762, Accuracy 0.5861, TPR@5% FPR of 0.0878
Min_70.0% renyi_1   AUC 0.5709, Accuracy 0.5811, TPR@5% FPR of 0.0946
Min_70.0% renyi_2   AUC 0.5737, Accuracy 0.5709, TPR@5% FPR of 0.1047
Min_70.0% renyi_inf   AUC 0.5732, Accuracy 0.5777, TPR@5% FPR of 0.0946
Min_80.0% renyi_05   AUC 0.5743, Accuracy 0.5861, TPR@5% FPR of 0.0946
Min_80.0% renyi_1   AUC 0.5736, Accuracy 0.5895, TPR@5% FPR of 0.0912
Min_80.0% renyi_2   AUC 0.5714, Accuracy 0.5743, TPR@5% FPR of 0.1047
Min_80.0% renyi_inf   AUC 0.5698, Accuracy 0.5709, TPR@5% FPR of 0.0946
Min_90.0% renyi_05   AUC 0.5757, Accuracy 0.5861, TPR@5% FPR of 0.0811
Min_90.0% renyi_1   AUC 0.5784, Accuracy 0.5895, TPR@5% FPR of 0.0980
Min_90.0% renyi_2   AUC 0.5725, Accuracy 0.5828, TPR@5% FPR of 0.1014
Min_90.0% renyi_inf   AUC 0.5725, Accuracy 0.5878, TPR@5% FPR of 0.0878
Min_100% renyi_05   AUC 0.5819, Accuracy 0.5895, TPR@5% FPR of 0.0811
Min_100% renyi_1   AUC 0.5836, Accuracy 0.5946, TPR@5% FPR of 0.0811
Min_100% renyi_2   AUC 0.5763, Accuracy 0.5777, TPR@5% FPR of 0.0980
Min_100% renyi_inf   AUC 0.5769, Accuracy 0.5878, TPR@5% FPR of 0.0980
